"","strain","cond","time","mean_mumax","sd_mumax","rsq_mean","mean_lag","sd_lag","well","rsq_x","row","column","media","edge","rep","y0","y0_lm","mumax","lag"
"110","wt","H",15,0.240784405960098,0.00425054233403752,0.99741401479226,13.6841262200109,0.871581248456768,"D7",0.997845438047472,"D",7,"succ",0,"a",0.016,0.000630393244468291,0.233838582273466,13.8300538241198
"111","wt","H",15,0.240784405960098,0.00425054233403752,0.99741401479226,13.6841262200109,0.871581248456768,"E4",0.997256793883421,"E",4,"succ",0,"b",0.017,0.000579213224836483,0.241281891083776,14.0056012248274
"112","wt","H",15,0.240784405960098,0.00425054233403752,0.99741401479226,13.6841262200109,0.871581248456768,"E7",0.99865723595219,"E",7,"succ",0,"b",0.011,0.000613237237538072,0.237847391552346,12.1376091669795
"113","wt","H",15,0.240784405960098,0.00425054233403752,0.99741401479226,13.6841262200109,0.871581248456768,"F4",0.997447323252544,"F",4,"succ",1,"c",0.014,0.000525148097870359,0.245515278949449,13.3724153895952
"114","wt","H",15,0.240784405960098,0.00425054233403752,0.99741401479226,13.6841262200109,0.871581248456768,"F7",0.997869136492385,"F",7,"succ",1,"c",0.017,0.00055817131376649,0.243157947743526,14.0497266306143
"115","wt","H",20,0.208631521849389,0.00386277343184501,0.995045368259787,16.4608206805629,0.403448006147968,"D4",0.992904699288955,"D",4,"succ",0,"a",0.023,0.000711246170726436,0.204185016225219,17.0249069085232
"116","wt","H",20,0.208631521849389,0.00386277343184501,0.995045368259787,16.4608206805629,0.403448006147968,"D7",0.996799544782585,"D",7,"succ",0,"a",0.019,0.000571593151934897,0.208993941723683,16.7649203789689
"117","wt","H",20,0.208631521849389,0.00386277343184501,0.995045368259787,16.4608206805629,0.403448006147968,"E4",0.991228682475352,"E",4,"succ",0,"b",0.02,0.000768462057088963,0.203631744900059,16.0048540813923
"118","wt","H",20,0.208631521849389,0.00386277343184501,0.995045368259787,16.4608206805629,0.403448006147968,"E7",0.995596744071987,"E",7,"succ",0,"b",0.018,0.000580797100566739,0.210450668926802,16.3160591649706
"119","wt","H",20,0.208631521849389,0.00386277343184501,0.995045368259787,16.4608206805629,0.403448006147968,"F4",0.997876005161368,"F",4,"succ",1,"c",0.019,0.000627313267297684,0.212323964320066,16.0638872034396
"120","wt","H",20,0.208631521849389,0.00386277343184501,0.995045368259787,16.4608206805629,0.403448006147968,"F7",0.995866533778477,"F",7,"succ",1,"c",0.021,0.000621262608069231,0.212203795000508,16.5902963460827
"121","wt","L",0,0.237000089329693,0.00662437204092618,0.995547001704945,5.29249076231845,1.00282101589159,"D2",0.998404499266888,"D",2,"succ",0,"a",0.017,0.00640042659059652,0.230093323982321,4.2454456488545
"122","wt","L",0,0.237000089329693,0.00662437204092618,0.995547001704945,5.29249076231845,1.00282101589159,"D5",0.986350406345087,"D",5,"succ",0,"a",0.023,0.00561056940045159,0.246760527604621,5.71745415619679
"123","wt","L",0,0.237000089329693,0.00662437204092618,0.995547001704945,5.29249076231845,1.00282101589159,"E2",0.998730664805232,"E",2,"succ",0,"b",0.015,0.00602226566280246,0.233294258037467,3.91174075313847
"124","wt","L",0,0.237000089329693,0.00662437204092618,0.995547001704945,5.29249076231845,1.00282101589159,"E5",0.992759361898876,"E",5,"succ",0,"b",0.023,0.00541674064950942,0.24373730723151,5.93261636459434
"125","wt","L",0,0.237000089329693,0.00662437204092618,0.995547001704945,5.29249076231845,1.00282101589159,"F2",0.998390948125507,"F",2,"succ",1,"c",0.022,0.00611327252191313,0.234086785403953,5.47053615341933
"126","wt","L",0,0.237000089329693,0.00662437204092618,0.995547001704945,5.29249076231845,1.00282101589159,"F5",0.998646129788082,"F",5,"succ",1,"c",0.027,0.00592985578857361,0.234028333718284,6.47715149770729
"127","wt","L",5,0.235764974143849,0.00732962032375683,0.994825224815755,5.46903606290713,0.465512457157226,"D2",0.992063489788588,"D",2,"succ",0,"a",0.013,0.00438033966837811,0.232897945797049,4.67081443118414
"128","wt","L",5,0.235764974143849,0.00732962032375683,0.994825224815755,5.46903606290713,0.465512457157226,"D5",0.987953689994249,"D",5,"succ",0,"a",0.014,0.00328577436939321,0.249631076827296,5.80638835113602
"129","wt","L",5,0.235764974143849,0.00732962032375683,0.994825224815755,5.46903606290713,0.465512457157226,"E2",0.998476345691334,"E",2,"succ",0,"b",0.012,0.0036814275829612,0.2295665452886,5.14711776140836
"130","wt","L",5,0.235764974143849,0.00732962032375683,0.994825224815755,5.46903606290713,0.465512457157226,"E5",0.993594424538537,"E",5,"succ",0,"b",0.013,0.00329114878830028,0.237093244149821,5.79397647023932
"131","wt","L",5,0.235764974143849,0.00732962032375683,0.994825224815755,5.46903606290713,0.465512457157226,"F2",0.998651454398211,"F",2,"succ",1,"c",0.014,0.00375669511006322,0.234840772374914,5.60174328125089
"132","wt","L",5,0.235764974143849,0.00732962032375683,0.994825224815755,5.46903606290713,0.465512457157226,"F5",0.998211944483611,"F",5,"succ",1,"c",0.015,0.0039437949879006,0.230560260425416,5.79417608222405
"133","wt","L",10,0.232164242867739,0.00647573853083092,0.995746370194411,7.55054624610419,0.593500050097089,"D2",0.997826020132839,"D",2,"succ",0,"a",0.013,0.00297456972102169,0.221297354269313,6.6645621018975
"134","wt","L",10,0.232164242867739,0.00647573853083092,0.995746370194411,7.55054624610419,0.593500050097089,"D5",0.994286488174121,"D",5,"succ",0,"a",0.013,0.00262112980619791,0.230164035593927,6.95740281389713
"135","wt","L",10,0.232164242867739,0.00647573853083092,0.995746370194411,7.55054624610419,0.593500050097089,"E2",0.998869772902494,"E",2,"succ",0,"b",0.014,0.00225366355661832,0.229863982395014,7.94600428975351
"136","wt","L",10,0.232164242867739,0.00647573853083092,0.995746370194411,7.55054624610419,0.593500050097089,"E5",0.99121775013067,"E",5,"succ",0,"b",0.013,0.00203625192770053,0.236340164608133,7.84394194237007
"137","wt","L",10,0.232164242867739,0.00647573853083092,0.995746370194411,7.55054624610419,0.593500050097089,"F2",0.993685923183474,"F",2,"succ",1,"c",0.015,0.00214509669194316,0.239151689483956,8.13235137960294
"138","wt","L",10,0.232164242867739,0.00647573853083092,0.995746370194411,7.55054624610419,0.593500050097089,"F5",0.99859226664287,"F",5,"succ",1,"c",0.014,0.00224033295601574,0.23616823085609,7.75901494910399
"139","wt","L",15,0.235509840865852,0.00438707277493342,0.996912092146477,10.5528685376304,0.534678679190701,"D2",0.99652364054756,"D",2,"succ",0,"a",0.013,0.00136525121826356,0.229884096510812,9.80324840769693
"140","wt","L",15,0.235509840865852,0.00438707277493342,0.996912092146477,10.5528685376304,0.534678679190701,"D5",0.995753631204447,"D",5,"succ",0,"a",0.016,0.00141973973030911,0.230415925685992,10.5119259822411
"141","wt","L",15,0.235509840865852,0.00438707277493342,0.996912092146477,10.5528685376304,0.534678679190701,"E2",0.998080769154675,"E",2,"succ",0,"b",0.014,0.0010559691157108,0.236545322469078,10.9264404988719
"142","wt","L",15,0.235509840865852,0.00438707277493342,0.996912092146477,10.5528685376304,0.534678679190701,"E5",0.997923866781605,"E",5,"succ",0,"b",0.015,0.00100003598376913,0.238841169139317,11.3381383441516
"143","wt","L",15,0.235509840865852,0.00438707277493342,0.996912092146477,10.5528685376304,0.534678679190701,"F2",0.995956663412442,"F",2,"succ",1,"c",0.013,0.00115338389695581,0.236913450610293,10.2241945760787
"144","wt","L",15,0.235509840865852,0.00438707277493342,0.996912092146477,10.5528685376304,0.534678679190701,"F5",0.997233981778133,"F",5,"succ",1,"c",0.013,0.00103763045012372,0.24045908077962,10.5132634167421
"145","wt","L",20,0.210912373924311,0.00965008924582163,0.995007733926581,13.3827963549657,0.669827591616008,"D2",0.984555666331579,"D",2,"succ",0,"a",0.026,0.00225754329731775,0.195540053099657,12.4977942566562
